grievance_text,severity
still router problem since long time,Low
"please check, still wifi not working kya masla hai",High
"please check, still internet very slow bhai",Low
UNSTABLE CONNECTION PLS FIX!!! yaar,Low
NET SLOW PLS FIX!!!,Low
ping too high since morning yaar,Low
HAVING INTERNET NOT WORKING CONTINUOUSLY!!!,High
"please check, unstable connection again kya ho raha hai",Low
"please check, facing net too slow bhai",Low
"wifi GONE, WHAT IS THIS?!!! bhai",High
"net very slow, what is this? since long time",Low
"please check, wifi down pls fix yaar",High
KEEPS DROPPING SINCE MORNING!!! bhai,Low
buffering issue since morning kya masla hai,Low
"please check, buffering issue",Low
connection GONE!!! yaar,High
facing internet not working since long time yaar,High
DATA LOSS ISSUE!!! bhai,Low
"wifi down, what is this? since long time kya ho raha hai",High
WIFI DOWN!!!,High
"wifi gone, what is this?",High
wifi down since morning since long time kya ho raha hai,High
DISCONNECTING AGAIN AND AGAIN NOT RESOLVED YET!!!,Low
disconnecting again and again again kya ho raha hai,Low
wifi down kya masla hai,High
no connection again since long time yaar,High
"please check, wifi not working again",High
"UNSTABLE CONNECTION, WHAT IS THIS?!!! yaar",Low
"please check, still data loss problem bhai",Low
"please check, facing packet loss happening",Low
"please check, facing disconnecting again and again bhai",Low
internet gone yaar,High
"please check, no connection again bhai",High
"please check, net gone, what is this? bhai",High
having no connection continuously since long time yaar,High
having dns not resolving continuously bhai,Low
intrnet not functioning from last night since long time yaar,High
"please check, still internet not functioning bhai",High
net slow pls fix,Low
"please check, buffering issue again bhai",Low
internet very slow not resolved yet since long time,Low
internet not working again,High
"please check, internet very slow pls fix",Low
disconnecting again and again kya ho raha hai,Low
FACING NO CONNECTION!!!,High
connection NOT WORKING NOT RESOLVED YET!!! yaar,High
DISCONNECTING AGAIN AND AGAIN FROM LAST NIGHT!!! kya ho raha hai,Low
"please check, no connection again yaar",High
NO CONNECTION SINCE MORNING!!! yaar,High
"router not working, what is this? since long time bhai",Low
wifi down from last night since long time kya ho raha hai,High
disconnecting again and again again kya masla hai,Low
facing connection gone since long time bhai,High
internet not functioning since morning kya ho raha hai,High
router problem again bhai,Low
speed is low since morning yaar,Low
having speed is low continuously,Low
still dns not resolving since long time kya ho raha hai,Low
internet gone since morning,High
"please check, facing delay in response",Low
"please check, having connection very slow continuously yaar",Low
net gone from last night since long time yaar,High
unstable connection yaar,Low
CANNOT ACCESS SITES AGAIN!!! yaar,Low
still no connection yaar,High
dns not resolving not resolved yet,Low
facing router problem bhai,Low
FACING WIFI DOWN!!! yaar,High
keeps dropping since morning bhai,Low
internet gone since morning yaar,High
"please check, internet very too slow pls fix",Low
STILL wifi NOT WORKING!!! bhai,High
"please check, router not running again",Low
"wifi down, what is this? yaar",High
"please check, keeps dropping pls fix kya ho raha hai",Low
ROUTER PROBLEM PLS FIX!!!,Low
internet not working from last night,High
internet not functioning since morning bhai,High
"net very slow, what is this?",Low
having router not running continuously since long time bhai,Low
wifi gone again since long time yaar,High
still internet not functioning bhai,High
facing ping too high,Low
connection gone since morning since long time,High
FACING NO CONNECTION!!! kya ho raha hai,High
cannot access sites not resolved yet since long time kya ho raha hai,Low
no connection since morning since long time kya masla hai,High
connection gone not resolved yet since long time,High
wifi down from last night kya ho raha hai,High
intrnet gone bhai,High
"please check, facing internet gone yaar",High
facing no connection yaar,High
facing delay in response,Low
"please check, no connection from last night",High
"please check, buffering trouble kya ho raha hai",Low
wifi down from last night since long time bhai,High
internet not functioning since morning since long time,High
"DATA LOSS ISSUE, WHAT IS THIS?!!!",Low
INTERNET NOT WORKING NOT RESOLVED YET!!!,High
connection not working not resolved yet since long time kya masla hai,High
FACING PACKET LOSS HAPPENING!!! yaar,Low
"please check, having wifi gone continuously bhai",High
"please check, facing internet very too slow yaar",Low
"please check, facing wifi down",High
internet not working again bhai,High
no connection from last night since long time kya ho raha hai,High
KEEPS DROPPING SINCE MORNING!!! yaar,Low
"please check, internet gone again",High
KEEPS DROPPING FROM LAST NIGHT!!! bhai,Low
NO CONNECTION SINCE MORNING!!! kya ho raha hai,High
having cannot access sites continuously since long time,Low
having cannot access sites continuously kya ho raha hai,Low
connection not working pls fix since long time,High
"please check, still packet loss happening bhai",Low
having keeps dropping continuously since long time bhai,Low
lag trouble pls fix yaar,Low
still connection very slow kya masla hai,Low
having wifi down continuously since long time kya ho raha hai,High
"please check, having wifi gone continuously",High
"please check, wifi down again",High
wifi not working not resolved yet since long time bhai,High
ping too high since morning,Low
buffering trouble pls fix since long time bhai,Low
"please check, still no connection",High
"please check, facing buffering issue kya ho raha hai",Low
"cannot access sites, what is this?",Low
facing intrnet very very slow kya masla hai,Low
net not working since long time,High
"please check, keeps dropping from last night bhai",Low
having unstable connection continuously kya ho raha hai,Low
no connection since long time yaar,High
having speed is low continuously since long time bhai,Low
"please check, net gone since morning",High
facing router not running since long time,Low
having router problem continuously since long time,Low
"no connection, what is this? since long time bhai",High
net gone pls fix kya ho raha hai,High
"please check, buffering problem since morning kya ho raha hai",Low
BUFFERING trouble PLS FIX!!! bhai,Low
"please check, wifi down since morning kya ho raha hai",High
wifi down pls fix since long time yaar,High
still data loss problem bhai,Low
"please check, wifi down since morning",High
PING TOO HIGH!!! bhai,Low
INTERNET NOT running FROM LAST NIGHT!!! bhai,High
internet gone since long time,High
packet loss happening yaar,Low
"please check, ping too high since morning kya ho raha hai",Low
KEEPS DROPPING NOT RESOLVED YET!!! bhai,Low
FACING WIFI DOWN!!! kya ho raha hai,High
NET lagging NOT RESOLVED YET!!!,Low
"please check, ping too high again yaar",Low
STILL wifi VERY SLOW!!! kya masla hai,Low
internet not working pls fix since long time bhai,High
"internet not working, what is this? bhai",High
UNSTABLE CONNECTION NOT RESOLVED YET!!!,Low
facing net gone bhai,High
"cannot access sites, what is this? since long time bhai",Low
no connection not resolved yet,High
internet not working since morning yaar,High
cannot access sites bhai,Low
"please check, ping too high from last night",Low
INTERNET GONE AGAIN!!!,High
still wifi down since long time yaar,High
facing wifi down,High
lag trouble again since long time bhai,Low
unstable connection not resolved yet yaar,Low
DISCONNECTING AGAIN AND AGAIN AGAIN!!! bhai,Low
"connection NOT WORKING, WHAT IS THIS?!!!",High
having connection not working continuously since long time yaar,High
DELAY IN RESPONSE SINCE MORNING!!! bhai,Low
"INTERNET VERY SLOW, WHAT IS THIS?!!! yaar",Low
DATA LOSS problem SINCE MORNING!!! kya ho raha hai,Low
PING TOO HIGH FROM LAST NIGHT!!! yaar,Low
internet gone since morning since long time bhai,High
ROUTER NOT WORKING PLS FIX!!! kya ho raha hai,Low
BUFFERING ISSUE!!!,Low
no connection since morning,High
dns not resolving again yaar,Low
cannot access sites pls fix since long time kya ho raha hai,Low
FACING NO CONNECTION!!!,High
data loss issue pls fix,Low
DISCONNECTING AGAIN AND AGAIN AGAIN!!! kya ho raha hai,Low
"please check, net not working since morning kya masla hai",High
"please check, disconnecting again and again from last night bhai",Low
wifi down pls fix,High
"keeps dropping, what is this? since long time bhai",Low
facing no connection since long time kya ho raha hai,High
no connection from last night bhai,High
HAVING NET SLOW CONTINUOUSLY!!! bhai,Low
wifi GONE NOT RESOLVED YET!!! kya ho raha hai,High
internet not running from last night,High
"packet loss happening, what is this? since long time yaar",Low
"NO CONNECTION, WHAT IS THIS?!!! yaar",High
wifi down not resolved yet kya masla hai,High
"please check, still net not working kya masla hai",High
"please check, router problem since morning",Low
"please check, ping too high not resolved yet",Low
disconnecting again and again not resolved yet since long time,Low
"please check, keeps dropping since morning kya ho raha hai",Low
"please check, facing wifi down",High
no connection not resolved yet,High
"please check, having router not functioning continuously kya masla hai",Low
"please check, wifi down, what is this? kya ho raha hai",High
internet very very slow from last night,Low
WIFI DOWN SINCE MORNING!!!,High
still no connection bhai,High
"please check, wifi down not resolved yet",High
net too slow since morning,Low
WIFI DOWN FROM LAST NIGHT!!! yaar,High
DELAY IN RESPONSE NOT RESOLVED YET!!!,Low
INTERNET GONE FROM LAST NIGHT!!!,High
net NOT WORKING!!! bhai,High
HAVING connection NOT WORKING CONTINUOUSLY!!! bhai,High
"ping too high, what is this?",Low
packet loss happening not resolved yet since long time bhai,Low
"wifi not working, what is this?",High
facing net very slow since long time yaar,Low
BUFFERING ISSUE FROM LAST NIGHT!!! yaar,Low
"please check, net gone pls fix bhai",High
wifi not working,High
having unstable connection continuously bhai,Low
"please check, data loss issue pls fix kya masla hai",Low
DELAY IN RESPONSE SINCE MORNING!!! bhai,Low
having keeps dropping continuously since long time bhai,Low
WIFI DOWN SINCE MORNING!!! kya masla hai,High
"please check, net very slow since morning",Low
STILL DNS NOT RESOLVING!!! kya ho raha hai,Low
ROUTER PROBLEM AGAIN!!! yaar,Low
facing connection not working kya ho raha hai,High
buffering issue since long time yaar,Low
"please check, wifi down again bhai",High
"please check, buffering problem from last night",Low
